; CSV, generated by libsigrok4DSL 0.2.0 on Fri Sep 18 22:17:24 2026
; Channels (12/16)
; Sample rate: 20 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
0.0003492,1,0,1,1,0,1,1,0,1,0,0,0
0.00034945,1,0,1,1,0,1,1,0,1,0,0,1
0.00035275,1,0,1,1,0,1,1,0,1,1,1,0
0.000353,1,0,1,1,0,1,1,0,1,1,1,1
0.00035305,1,0,1,1,1,1,1,0,0,1,1,1
0.0003531,0,0,0,1,1,1,1,0,0,1,1,1
0.0003563,0,0,0,1,1,1,1,0,0,0,0,0
0.00035655,0,0,0,1,1,1,1,0,0,0,0,1
0.0003598,0,0,0,1,1,1,1,0,0,0,0,0
0.00036005,0,0,0,1,1,1,1,0,0,0,0,1
0.0003601,1,1,1,1,1,1,1,0,0,0,0,1
0.00036015,1,1,1,1,1,1,1,0,1,1,1,1
0.0003602,1,1,1,1,0,1,1,0,1,1,1,1
0.00036335,1,1,1,1,0,1,1,0,1,1,1,0
0.0003634,1,1,1,1,0,1,1,0,1,0,1,0
0.0003636,1,1,1,1,0,1,1,0,1,0,1,1
0.0003669,1,1,1,1,0,1,1,0,1,1,1,0
0.00036715,1,1,1,1,0,1,1,0,1,1,1,1
0.00036725,1,0,1,1,0,1,1,0,1,1,1,1
0.00037045,1,0,1,1,0,1,1,0,1,1,1,0
0.0003705,1,0,1,1,0,1,1,0,1,0,0,0
0.0003707,1,0,1,1,0,1,1,0,1,0,0,1
0.000374,1,0,1,1,0,1,1,0,1,0,0,0
0.00037425,1,0,1,1,0,1,1,0,1,0,0,1
0.00037755,1,0,1,1,0,1,1,0,1,0,0,0
0.0003776,1,0,1,1,0,1,1,0,1,1,1,0
0.0003778,1,0,1,1,0,1,1,0,1,1,1,1
0.00037785,1,0,1,1,1,1,1,0,0,1,1,1
0.0003779,1,0,0,1,1,1,1,0,0,1,1,1
0.0003811,1,0,0,1,1,1,1,0,0,0,0,0
0.00038135,1,0,0,1,1,1,1,0,0,0,0,1
0.0003846,1,0,0,1,1,1,1,0,0,0,0,0
0.0003849,1,0,0,1,1,1,1,0,0,1,1,1
0.00038495,0,0,0,0,1,1,1,0,1,1,1,1
0.00038815,0,0,0,0,1,1,1,0,1,1,1,0
0.0003882,0,0,0,0,1,1,1,0,1,0,1,0
0.0003884,0,0,0,0,1,1,1,0,1,0,1,1
0.0003917,0,0,0,0,1,1,1,0,1,0,1,0
0.00039175,0,0,0,0,1,1,1,0,1,1,1,0
0.00039195,0,0,0,0,1,1,1,0,1,1,1,1
0.000392,1,0,1,1,1,1,1,0,1,1,1,1
0.00039205,1,0,1,1,0,1,1,0,1,1,1,1
0.0003952,1,0,1,1,0,1,1,0,1,1,1,0
0.00039525,1,0,1,1,0,1,1,0,1,0,0,0
0.0003955,1,0,1,1,0,1,1,0,1,0,0,1
0.00039875,1,0,1,1,0,1,1,0,1,0,0,0
0.000399,1,0,1,1,0,1,1,0,1,0,0,1
0.0004023,1,0,1,1,0,1,1,0,1,0,0,0
0.00040235,1,0,1,1,0,1,1,0,1,1,1,0
0.00040255,1,0,1,1,0,1,1,0,1,1,1,1
0.0004026,1,1,1,1,1,1,1,0,0,1,1,1
0.00040265,0,1,0,1,1,1,1,0,0,1,1,1
0.00040585,0,1,0,1,1,1,1,0,0,0,0,0
0.0004061,0,1,0,1,1,1,1,0,0,0,0,1
0.00040935,0,1,0,1,1,1,1,0,0,0,0,0
0.0004096,0,1,0,1,1,1,1,0,0,0,0,1
0.00040965,1,1,0,1,1,1,1,0,0,1,1,1
0.0004097,1,0,0,0,1,1,1,0,1,1,1,1
0.0004129,1,0,0,0,1,1,1,0,1,1,1,0
0.00041295,1,0,0,0,1,1,1,0,1,0,1,0
0.00041315,1,0,0,0,1,1,1,0,1,0,1,1
0.00041645,1,0,0,0,1,1,1,0,1,0,1,0
0.0004165,1,0,0,0,1,1,1,0,1,1,1,0
0.0004167,1,0,0,0,1,1,1,0,1,1,1,1
0.00041675,1,0,1,1,1,1,1,0,1,1,1,1
0.0004168,1,0,1,1,0,1,1,0,1,1,1,1
0.00041995,1,0,1,1,0,1,1,0,1,1,1,0
0.00042,1,0,1,1,0,1,1,0,1,0,0,0
0.0004202,1,0,1,1,0,1,1,0,1,0,0,1
0.0004235,1,0,1,1,0,1,1,0,1,0,0,0
0.00042375,1,0,1,1,0,1,1,0,1,0,0,1
0.00042705,1,0,1,1,0,1,1,0,1,1,1,0
0.0004273,1,0,1,1,0,1,1,0,1,1,1,1
0.00042735,1,1,1,1,1,1,1,0,0,1,1,1
0.0004274,1,1,0,1,1,1,1,0,0,1,1,1
0.00043055,1,1,0,1,1,1,1,0,0,1,1,0
0.0004306,1,1,0,1,1,1,1,0,0,0,0,0
0.0004308,1,1,0,1,1,1,1,0,0,0,0,1
0.0004341,1,1,0,1,1,1,1,0,0,0,0,0
0.00043435,1,1,0,1,1,1,1,0,0,0,0,1
0.0004344,1,1,0,1,1,1,1,0,1,1,1,1
0.00043445,0,1,0,0,1,1,1,0,1,1,1,1
0.00043765,0,1,0,0,1,1,1,0,1,0,1,0
0.0004379,0,1,0,0,1,1,1,0,1,0,1,1
0.0004412,0,1,0,0,1,1,1,0,1,1,1,0
0.00044145,1,1,1,1,1,1,1,0,1,1,1,1
0.0004415,1,0,1,1,1,1,1,0,1,1,1,1
0.00044155,1,0,1,1,0,1,1,0,1,1,1,1
0.0004447,1,0,1,1,0,1,1,0,1,0,1,0
0.00044475,1,0,1,1,0,1,1,0,1,0,0,0
0.00044495,1,0,1,1,0,1,1,0,1,0,0,1
0.00044825,1,0,1,1,0,1,1,0,1,0,0,0
0.0004485,1,0,1,1,0,1,1,0,1,0,0,1
0.0004518,1,0,1,1,0,1,1,0,1,0,0,0
0.00045185,1,0,1,1,0,1,1,0,1,1,1,0
0.00045205,1,0,1,1,0,1,1,0,1,1,1,1
0.0004521,1,0,1,1,1,1,1,0,0,1,1,1
0.00045215,0,0,1,1,1,1,1,0,0,1,1,1
0.0004553,0,0,1,1,1,1,1,0,0,1,1,0
0.00045535,0,0,1,1,1,1,1,0,0,0,0,0
0.0004556,0,0,1,1,1,1,1,0,0,0,0,1
0.00045885,0,0,1,1,1,1,1,0,0,0,0,0
0.0004591,0,0,1,1,1,1,1,0,0,0,0,1
0.00045915,1,1,1,1,1,1,1,0,0,1,1,1
0.0004592,1,1,0,0,1,1,1,0,1,1,1,1
0.0004624,1,1,0,0,1,1,1,0,1,1,1,0
0.00046245,1,1,0,0,1,1,1,0,1,0,1,0
0.00046265,1,1,0,0,1,1,1,0,1,0,1,1
0.00046595,1,1,0,0,1,1,1,0,1,1,1,0
0.0004662,1,1,0,0,1,1,1,0,1,1,1,1
0.00046625,1,1,1,1,1,1,1,0,1,1,1,1
0.0004663,1,0,1,1,0,1,1,0,1,1,1,1
0.0004695,1,0,1,1,0,1,1,0,1,0,0,0
0.00046975,1,0,1,1,0,1,1,0,1,0,0,1
0.000473,1,0,1,1,0,1,1,0,1,0,0,0
0.0004733,1,0,1,1,0,1,1,0,1,0,0,1
0.00047655,1,0,1,1,0,1,1,0,1,0,0,0
0.0004766,1,0,1,1,0,1,1,0,1,1,1,0
0.0004768,1,0,1,1,0,1,1,0,1,1,1,1
0.00047685,1,0,1,1,1,1,1,0,0,1,1,1
0.0004801,1,0,1,1,1,1,1,0,0,0,0,0
0.00048035,1,0,1,1,1,1,1,0,0,0,0,1
0.0004836,1,0,1,1,1,1,1,0,0,0,0,0
0.00048385,1,0,1,1,1,1,1,0,0,0,0,1
0.0004839,1,0,1,1,1,1,1,0,0,1,1,1
0.00048395,0,0,1,0,1,1,1,0,1,1,1,1
0.00048715,0,0,1,0,1,1,1,0,1,1,1,0
0.0004872,0,0,1,0,1,1,1,0,1,0,1,0
0.0004874,0,0,1,0,1,1,1,0,1,0,1,1
0.0004907,0,0,1,0,1,1,1,0,1,1,1,0
0.00049095,0,0,1,0,1,1,1,0,1,1,1,1
0.000491,1,0,1,1,1,1,1,0,1,1,1,1
0.00049105,1,0,1,1,0,1,1,0,1,1,1,1
0.00049425,1,0,1,1,0,1,1,0,1,0,0,0
0.0004945,1,0,1,1,0,1,1,0,1,0,0,1
0.00049775,1,0,1,1,0,1,1,0,1,0,0,0
0.000498,1,0,1,1,0,1,1,0,1,0,0,1
0.0005013,1,0,1,1,0,1,1,0,1,0,0,0
0.00050135,1,0,1,1,0,1,1,0,1,1,1,0
